Problem size,Base_CUDA-direct_64,Base_CUDA-runtime_block_stride_loop_64,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-direct_64,RAJA_CUDA-runtime_block_stride_loop_64
5376,40.3507,24.8459,26.4663,42.5025,26.4463
21312,97.12185,60.3691,63.09415,102.22525,63.210049999999995
85056,153.893,95.8923,99.722,161.948,99.9738
169920,279.66,178.833,187.027,290.343,187.303
339840,433.476,307.045,313.869,446.645,313.819
679680,576.476,384.022,382.667,562.053,382.92
1359360,690.541,465.486,459.602,681.221,459.696
2718720,733.957,502.091,491.322,728.31,490.588
5437248,759.304,522.236,492.293,748.966,492.537
7964736,767.8715,527.9035,497.3915,758.355,497.702
15929280,776.439,533.571,502.49,767.744,502.867
