Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
10752,279.359,141.8,151.941,276.447,113.46
42624,614.096,338.1,360.986,602.822,269.428
169920,948.833,534.4,570.031,929.197,425.396
339840,1351.96,897.662,980.21,1338.11,764.873
679680,1644.53,1175.62,1446.86,1636.9,1166.05
1359360,2620.83,2030.64,2079.53,2597.46,1536.39
2718720,3132.22,2368.47,2477.19,3123.46,1722.87
5437248,3290.98,2502.74,2638.46,3243.56,1780.31
10874496,3290.98,2537.54,2655.5,3243.56,1780.84
15929280,3290.98,2564.1,2687.57,3243.56,1780.84
21748800,3250.33,2585.04,2687.57,3216.33,1780.84
31858560,3249.62,2585.435,2692.15,3201.6949999999997,1739.255
42477888,3248.91,2585.04,2696.73,3187.06,1697.67
